Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit
86.0,319.0,103.0,4.0,4.5,3.5,8.66,0.0,0.76
87.0,315.0,106.0,3.0,4.5,3.5,8.42,0.0,0.72
88.0,317.0,107.0,2.0,3.5,3.0,8.28,0.0,0.66
89.0,314.0,108.0,3.0,4.5,3.5,8.14,0.0,0.64
90.0,316.0,109.0,4.0,4.5,3.5,8.76,1.0,0.74
91.0,318.0,106.0,2.0,4.0,4.0,7.92,1.0,0.64
92.0,299.0,97.0,3.0,5.0,3.5,7.66,0.0,0.38
93.0,298.0,98.0,2.0,4.0,3.0,8.03,0.0,0.34
94.0,301.0,97.0,2.0,3.0,3.0,7.88,1.0,0.44
95.0,303.0,99.0,3.0,2.0,2.5,7.66,0.0,0.36
96.0,304.0,100.0,4.0,1.5,2.5,7.84,0.0,0.42
97.0,306.0,100.0,2.0,3.0,3.0,8.0,0.0,0.48
98.0,331.0,120.0,3.0,4.0,4.0,8.96,1.0,0.86
99.0,332.0,119.0,4.0,5.0,4.5,9.24,1.0,0.9
100.0,323.0,113.0,3.0,4.0,4.0,8.88,1.0,0.79
101.0,322.0,107.0,3.0,3.5,3.5,8.46,1.0,0.71
102.0,312.0,105.0,2.0,2.5,3.0,8.12,0.0,0.64
103.0,314.0,106.0,2.0,4.0,3.5,8.25,0.0,0.62
104.0,317.0,104.0,2.0,4.5,4.0,8.47,0.0,0.57
105.0,326.0,112.0,3.0,3.5,3.0,9.05,1.0,0.74
106.0,316.0,110.0,3.0,4.0,4.5,8.78,1.0,0.69
107.0,329.0,111.0,4.0,4.5,4.5,9.18,1.0,0.87
108.0,338.0,117.0,4.0,3.5,4.5,9.46,1.0,0.91
109.0,331.0,116.0,5.0,5.0,5.0,9.38,1.0,0.93
110.0,304.0,103.0,5.0,5.0,4.0,8.64,0.0,0.68
111.0,305.0,108.0,5.0,3.0,3.0,8.48,0.0,0.61
112.0,321.0,109.0,4.0,4.0,4.0,8.68,1.0,0.69
113.0,301.0,107.0,3.0,3.5,3.5,8.34,1.0,0.62
114.0,320.0,110.0,2.0,4.0,3.5,8.56,0.0,0.72
115.0,311.0,105.0,3.0,3.5,3.0,8.45,1.0,0.59
116.0,310.0,106.0,4.0,4.5,4.5,9.04,1.0,0.66
117.0,299.0,102.0,3.0,4.0,3.5,8.62,0.0,0.56
118.0,290.0,104.0,4.0,2.0,2.5,7.46,0.0,0.45
119.0,296.0,99.0,2.0,3.0,3.5,7.28,0.0,0.47
120.0,327.0,104.0,5.0,3.0,3.5,8.84,1.0,0.71
121.0,335.0,117.0,5.0,5.0,5.0,9.56,1.0,0.94
122.0,334.0,119.0,5.0,4.5,4.5,9.48,1.0,0.94
123.0,310.0,106.0,4.0,1.5,2.5,8.36,0.0,0.57
124.0,308.0,108.0,3.0,3.5,3.5,8.22,0.0,0.61
125.0,301.0,106.0,4.0,2.5,3.0,8.47,0.0,0.57
126.0,300.0,100.0,3.0,2.0,3.0,8.66,1.0,0.64
127.0,323.0,113.0,3.0,4.0,3.0,9.32,1.0,0.85
128.0,319.0,112.0,3.0,2.5,2.0,8.71,1.0,0.78
129.0,326.0,112.0,3.0,3.5,3.0,9.1,1.0,0.84
130.0,333.0,118.0,5.0,5.0,5.0,9.35,1.0,0.92
131.0,339.0,114.0,5.0,4.0,4.5,9.76,1.0,0.96
132.0,303.0,105.0,5.0,5.0,4.5,8.65,0.0,0.77
133.0,309.0,105.0,5.0,3.5,3.5,8.56,0.0,0.71
134.0,323.0,112.0,5.0,4.0,4.5,8.78,0.0,0.79
135.0,333.0,113.0,5.0,4.0,4.0,9.28,1.0,0.89
136.0,314.0,109.0,4.0,3.5,4.0,8.77,1.0,0.82
137.0,312.0,103.0,3.0,5.0,4.0,8.45,0.0,0.76
138.0,316.0,100.0,2.0,1.5,3.0,8.16,1.0,0.71
139.0,326.0,116.0,2.0,4.5,3.0,9.08,1.0,0.8
140.0,318.0,109.0,1.0,3.5,3.5,9.12,0.0,0.78
141.0,329.0,110.0,2.0,4.0,3.0,9.15,1.0,0.84
142.0,332.0,118.0,2.0,4.5,3.5,9.36,1.0,0.9
143.0,331.0,115.0,5.0,4.0,3.5,9.44,1.0,0.92
144.0,340.0,120.0,4.0,4.5,4.0,9.92,1.0,0.97
145.0,325.0,112.0,2.0,3.0,3.5,8.96,1.0,0.8
146.0,320.0,113.0,2.0,2.0,2.5,8.64,1.0,0.81
147.0,315.0,105.0,3.0,2.0,2.5,8.48,0.0,0.75
148.0,326.0,114.0,3.0,3.0,3.0,9.11,1.0,0.83
149.0,339.0,116.0,4.0,4.0,3.5,9.8,1.0,0.96
150.0,311.0,106.0,2.0,3.5,3.0,8.26,1.0,0.79
151.0,334.0,114.0,4.0,4.0,4.0,9.43,1.0,0.93
152.0,332.0,116.0,5.0,5.0,5.0,9.28,1.0,0.94
153.0,321.0,112.0,5.0,5.0,5.0,9.06,1.0,0.86
154.0,324.0,105.0,3.0,3.0,4.0,8.75,0.0,0.79
155.0,326.0,108.0,3.0,3.0,3.5,8.89,0.0,0.8
156.0,312.0,109.0,3.0,3.0,3.0,8.69,0.0,0.77
157.0,315.0,105.0,3.0,2.0,2.5,8.34,0.0,0.7
158.0,309.0,104.0,2.0,2.0,2.5,8.26,0.0,0.65
159.0,306.0,106.0,2.0,2.0,2.5,8.14,0.0,0.61
160.0,297.0,100.0,1.0,1.5,2.0,7.9,0.0,0.52
161.0,315.0,103.0,1.0,1.5,2.0,7.86,0.0,0.57
162.0,298.0,99.0,1.0,1.5,3.0,7.46,0.0,0.53
163.0,318.0,109.0,3.0,3.0,3.0,8.5,0.0,0.67
164.0,317.0,105.0,3.0,3.5,3.0,8.56,0.0,0.68
165.0,329.0,111.0,4.0,4.5,4.0,9.01,1.0,0.81
166.0,322.0,110.0,5.0,4.5,4.0,8.97,0.0,0.78
167.0,302.0,102.0,3.0,3.5,5.0,8.33,0.0,0.65
168.0,313.0,102.0,3.0,2.0,3.0,8.27,0.0,0.64
169.0,293.0,97.0,2.0,2.0,4.0,7.8,1.0,0.64
170.0,311.0,99.0,2.0,2.5,3.0,7.98,0.0,0.65
171.0,312.0,101.0,2.0,2.5,3.5,8.04,1.0,0.68
172.0,334.0,117.0,5.0,4.0,4.5,9.07,1.0,0.89
173.0,322.0,110.0,4.0,4.0,5.0,9.13,1.0,0.86
174.0,323.0,113.0,4.0,4.0,4.5,9.23,1.0,0.89
175.0,321.0,111.0,4.0,4.0,4.0,8.97,1.0,0.87
176.0,320.0,111.0,4.0,4.5,3.5,8.87,1.0,0.85
177.0,329.0,119.0,4.0,4.5,4.5,9.16,1.0,0.9
178.0,319.0,110.0,3.0,3.5,3.5,9.04,0.0,0.82
179.0,309.0,108.0,3.0,2.5,3.0,8.12,0.0,0.72
180.0,307.0,102.0,3.0,3.0,3.0,8.27,0.0,0.73
181.0,300.0,104.0,3.0,3.5,3.0,8.16,0.0,0.71
182.0,305.0,107.0,2.0,2.5,2.5,8.42,0.0,0.71
183.0,299.0,100.0,2.0,3.0,3.5,7.88,0.0,0.68
184.0,314.0,110.0,3.0,4.0,4.0,8.8,0.0,0.75
185.0,316.0,106.0,2.0,2.5,4.0,8.32,0.0,0.72
186.0,327.0,113.0,4.0,4.5,4.5,9.11,1.0,0.89
187.0,317.0,107.0,3.0,3.5,3.0,8.68,1.0,0.84
188.0,335.0,118.0,5.0,4.5,3.5,9.44,1.0,0.93
189.0,331.0,115.0,5.0,4.5,3.5,9.36,1.0,0.93
190.0,324.0,112.0,5.0,5.0,5.0,9.08,1.0,0.88
191.0,324.0,111.0,5.0,4.5,4.0,9.16,1.0,0.9
192.0,323.0,110.0,5.0,4.0,5.0,8.98,1.0,0.87
193.0,322.0,114.0,5.0,4.5,4.0,8.94,1.0,0.86
194.0,336.0,118.0,5.0,4.5,5.0,9.53,1.0,0.94
195.0,316.0,109.0,3.0,3.5,3.0,8.76,0.0,0.77
196.0,307.0,107.0,2.0,3.0,3.5,8.52,1.0,0.78
197.0,306.0,105.0,2.0,3.0,2.5,8.26,0.0,0.73
198.0,310.0,106.0,2.0,3.5,2.5,8.33,0.0,0.73
199.0,311.0,104.0,3.0,4.5,4.5,8.43,0.0,0.7
200.0,313.0,107.0,3.0,4.0,4.5,8.69,0.0,0.72
201.0,317.0,103.0,3.0,2.5,3.0,8.54,1.0,0.73
202.0,315.0,110.0,2.0,3.5,3.0,8.46,1.0,0.72
203.0,340.0,120.0,5.0,4.5,4.5,9.91,1.0,0.97
204.0,334.0,120.0,5.0,4.0,5.0,9.87,1.0,0.97
205.0,298.0,105.0,3.0,3.5,4.0,8.54,0.0,0.69
206.0,295.0,99.0,2.0,2.5,3.0,7.65,0.0,0.57
207.0,315.0,99.0,2.0,3.5,3.0,7.89,0.0,0.63
208.0,310.0,102.0,3.0,3.5,4.0,8.02,1.0,0.66
209.0,305.0,106.0,2.0,3.0,3.0,8.16,0.0,0.64
210.0,301.0,104.0,3.0,3.5,4.0,8.12,1.0,0.68
211.0,325.0,108.0,4.0,4.5,4.0,9.06,1.0,0.79
212.0,328.0,110.0,4.0,5.0,4.0,9.14,1.0,0.82
213.0,338.0,120.0,4.0,5.0,5.0,9.66,1.0,0.95
214.0,333.0,119.0,5.0,5.0,4.5,9.78,1.0,0.96
215.0,331.0,117.0,4.0,4.5,5.0,9.42,1.0,0.94
216.0,330.0,116.0,5.0,5.0,4.5,9.36,1.0,0.93
217.0,322.0,112.0,4.0,4.5,4.5,9.26,1.0,0.91
218.0,321.0,109.0,4.0,4.0,4.0,9.13,1.0,0.85
219.0,324.0,110.0,4.0,3.0,3.5,8.97,1.0,0.84
220.0,312.0,104.0,3.0,3.5,3.5,8.42,0.0,0.74
221.0,313.0,103.0,3.0,4.0,4.0,8.75,0.0,0.76
222.0,316.0,110.0,3.0,3.5,4.0,8.56,0.0,0.75
223.0,324.0,113.0,4.0,4.5,4.0,8.79,0.0,0.76
224.0,308.0,109.0,2.0,3.0,4.0,8.45,0.0,0.71
225.0,305.0,105.0,2.0,3.0,2.0,8.23,0.0,0.67
226.0,296.0,99.0,2.0,2.5,2.5,8.03,0.0,0.61
227.0,306.0,110.0,2.0,3.5,4.0,8.45,0.0,0.63
228.0,312.0,110.0,2.0,3.5,3.0,8.53,0.0,0.64
229.0,318.0,112.0,3.0,4.0,3.5,8.67,0.0,0.71
230.0,324.0,111.0,4.0,3.0,3.0,9.01,1.0,0.82
231.0,313.0,104.0,3.0,4.0,4.5,8.65,0.0,0.73
232.0,319.0,106.0,3.0,3.5,2.5,8.33,1.0,0.74
233.0,312.0,107.0,2.0,2.5,3.5,8.27,0.0,0.69
234.0,304.0,100.0,2.0,2.5,3.5,8.07,0.0,0.64
235.0,330.0,113.0,5.0,5.0,4.0,9.31,1.0,0.91
236.0,326.0,111.0,5.0,4.5,4.0,9.23,1.0,0.88
237.0,325.0,112.0,4.0,4.0,4.5,9.17,1.0,0.85
238.0,329.0,114.0,5.0,4.5,5.0,9.19,1.0,0.86
239.0,310.0,104.0,3.0,2.0,3.5,8.37,0.0,0.7
240.0,299.0,100.0,1.0,1.5,2.0,7.89,0.0,0.59
241.0,296.0,101.0,1.0,2.5,3.0,7.68,0.0,0.6
242.0,317.0,103.0,2.0,2.5,2.0,8.15,0.0,0.65
243.0,324.0,115.0,3.0,3.5,3.0,8.76,1.0,0.7
244.0,325.0,114.0,3.0,3.5,3.0,9.04,1.0,0.76
245.0,314.0,107.0,2.0,2.5,4.0,8.56,0.0,0.63
246.0,328.0,110.0,4.0,4.0,2.5,9.02,1.0,0.81
247.0,316.0,105.0,3.0,3.0,3.5,8.73,0.0,0.72
248.0,311.0,104.0,2.0,2.5,3.5,8.48,0.0,0.71
249.0,324.0,110.0,3.0,3.5,4.0,8.87,1.0,0.8
250.0,321.0,111.0,3.0,3.5,4.0,8.83,1.0,0.77
251.0,320.0,104.0,3.0,3.0,2.5,8.57,1.0,0.74
252.0,316.0,99.0,2.0,2.5,3.0,9.0,0.0,0.7
253.0,318.0,100.0,2.0,2.5,3.5,8.54,1.0,0.71
254.0,335.0,115.0,4.0,4.5,4.5,9.68,1.0,0.93
255.0,321.0,114.0,4.0,4.0,5.0,9.12,0.0,0.85
256.0,307.0,110.0,4.0,4.0,4.5,8.37,0.0,0.79
257.0,309.0,99.0,3.0,4.0,4.0,8.56,0.0,0.76
258.0,324.0,100.0,3.0,4.0,5.0,8.64,1.0,0.78
259.0,326.0,102.0,4.0,5.0,5.0,8.76,1.0,0.77
260.0,331.0,119.0,4.0,5.0,4.5,9.34,1.0,0.9
261.0,327.0,108.0,5.0,5.0,3.5,9.13,1.0,0.87
262.0,312.0,104.0,3.0,3.5,4.0,8.09,0.0,0.71
263.0,308.0,103.0,2.0,2.5,4.0,8.36,1.0,0.7
264.0,324.0,111.0,3.0,2.5,1.5,8.79,1.0,0.7
265.0,325.0,110.0,2.0,3.0,2.5,8.76,1.0,0.75
266.0,313.0,102.0,3.0,2.5,2.5,8.68,0.0,0.71
267.0,312.0,105.0,2.0,2.0,2.5,8.45,0.0,0.72
268.0,314.0,107.0,3.0,3.0,3.5,8.17,1.0,0.73
269.0,327.0,113.0,4.0,4.5,5.0,9.14,0.0,0.83
270.0,308.0,108.0,4.0,4.5,5.0,8.34,0.0,0.77
271.0,306.0,105.0,2.0,2.5,3.0,8.22,1.0,0.72
272.0,299.0,96.0,2.0,1.5,2.0,7.86,0.0,0.54
273.0,294.0,95.0,1.0,1.5,1.5,7.64,0.0,0.49
274.0,312.0,99.0,1.0,1.0,1.5,8.01,1.0,0.52
275.0,315.0,100.0,1.0,2.0,2.5,7.95,0.0,0.58
276.0,322.0,110.0,3.0,3.5,3.0,8.96,1.0,0.78
277.0,329.0,113.0,5.0,5.0,4.5,9.45,1.0,0.89
278.0,320.0,101.0,2.0,2.5,3.0,8.62,0.0,0.7
279.0,308.0,103.0,2.0,3.0,3.5,8.49,0.0,0.66
280.0,304.0,102.0,2.0,3.0,4.0,8.73,0.0,0.67
